District,District Code,2019-20,2020-21,2021-22,2022-23,2023-24
Achievement First Bridgeport Academy District,2850013,*,*,*,*,*
Achievement First Hartford Academy District,2880013,*,0.0,7.1,8.3,11.8
Amistad Academy District,2790013,*,*,*,*,*
Ansonia School District,0020011,7.8,15.4,14.5,14.7,9.9
Avon School District,0040011,*,*,*,*,*
Berlin School District,0070011,*,*,3.7,2.9,*
Bethel School District,0090011,*,*,*,*,*
Bloomfield School District,0110011,*,4.8,4.5,5.7,6.7
Bolton School District,0120011,0.0,*,*,*,*
Branford School District,0140011,3.8,3.5,4.5,4.3,4.2
Bridgeport School District,0150011,17.7,13.9,13.3,16.1,13.7
Bristol School District,0170011,3.3,5.7,6.9,6.1,4.2
Brookfield School District,0180011,*,3.2,*,*,*
Canton School District,0230011,*,0.0,*,*,*
Capital Preparatory Harbor School District,2970013,0.0,*,0.0,*,*
Capitol Region Education Council,2410014,1.7,3.1,3.2,3.7,3.9
Cheshire School District,0250011,*,*,0.0,2.1,*
Clinton School District,0270011,*,4.3,*,*,*
Colchester School District,0280011,5.8,4.9,4.8,6.9,*
Common Ground High School District,2680013,*,10.0,*,11.7,*
Connecticut Technical Education and Career System,9000016,2.4,2.6,3.6,3.3,1.8
Coventry School District,0320011,*,0.0,*,*,*
Cromwell School District,0330011,*,*,0.0,*,*
Danbury School District,0340011,7.1,6.3,9.0,11.2,10.5
Darien School District,0350011,0.0,0.0,*,*,0.0
Department of Mental Health and Addiction Services,3370015,*,*,*,*,N/A
Derby School District,0370011,11.1,12.9,18.1,14.4,10.7
East Granby School District,0400011,0.0,*,*,0.0,0.0
East Haddam School District,0410011,*,0.0,*,*,*
East Hampton School District,0420011,0.0,*,*,*,*
East Hartford School District,0430011,5.4,3.8,6.5,8.2,6.4
East Haven School District,0440011,13.3,11.1,12.7,14.3,7.9
East Lyme School District,0450011,*,*,2.8,2.3,*
East Windsor School District,0470011,11.0,*,*,10.8,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,8.4,8.2,12.9,11.2,*
Ellington School District,0480011,*,0.0,*,*,3.1
Elm City College Preparatory School District,2890013,*,*,*,0.0,17.3
Enfield School District,0490011,6.3,4.8,6.7,7.7,3.6
Explorations District,2720013,*,*,*,29.7,26.1
Fairfield School District,0510011,1.1,0.8,1.1,*,0.7
Farmington School District,0520011,0.0,*,*,*,*
Glastonbury School District,0540011,*,*,*,*,*
Goodwin University Educational Services (GUES),2310018,N/A,N/A,*,*,6.7
Granby School District,0560011,*,*,*,*,*
Great Oaks Charter School District,2940013,N/A,*,*,*,*
Greenwich School District,0570011,*,1.2,*,1.9,0.9
Griswold School District,0580011,5.8,6.6,5.8,9.3,6.5
Groton School District,0590011,10.2,8.4,6.4,10.8,5.2
Guilford School District,0600011,2.4,*,*,*,*
Hamden School District,0620011,5.1,3.7,3.9,8.6,5.5
Hartford School District,0640011,12.5,13.2,14.0,12.6,10.9
Highville Charter School District,2860013,*,*,*,*,*
Jumoke Academy District,2610013,*,*,*,*,N/A
Killingly School District,0690011,10.8,5.0,11.5,8.8,6.6
Learn,2450014,4.1,*,0.0,*,*
Lebanon School District,0710011,*,*,*,*,*
Ledyard School District,0720011,*,*,*,*,0.0
Litchfield School District,0740011,0.0,0.0,*,0.0,0.0
Madison School District,0760011,*,*,*,*,*
Manchester School District,0770011,7.1,7.1,5.1,7.2,5.2
Meriden School District,0800011,6.8,6.0,7.3,10.5,6.8
Middletown School District,0830011,4.4,2.8,2.0,4.2,2.5
Milford School District,0840011,2.2,1.3,1.4,2.6,1.9
Monroe School District,0850011,0.0,*,0.0,*,*
Montville School District,0860011,6.9,4.0,*,10.0,5.0
Naugatuck School District,0880011,6.4,5.1,4.5,6.8,5.5
New Britain School District,0890011,12.8,8.9,11.0,18.2,10.7
New Canaan School District,0900011,0.0,0.0,*,*,*
New Fairfield School District,0910011,0.0,*,0.0,0.0,0.0
New Haven School District,0930011,13.3,12.0,13.4,15.4,12.0
