District,District Code,2019-20,2020-21,2021-22,2022-23,2023-24
Achievement First Bridgeport Academy District,2850013,*,9.8,*,*,0.0
Achievement First Hartford Academy District,2880013,0.0,0.0,*,11.1,*
Amistad Academy District,2790013,13.2,*,*,*,*
Ansonia School District,20011,8.3,10.6,6.6,5.1,4.3
Avon School District,40011,3.0,3.9,3.3,4.3,3.6
Berlin School District,70011,6.3,4.4,*,*,4.5
Bethel School District,90011,*,4.9,5.8,3.6,5.3
Bloomfield School District,110011,7.6,6.7,8.4,5.7,10.0
Bolton School District,120011,0.0,*,*,*,*
Branford School District,140011,3.8,4.0,4.5,*,4.6
Bridgeport School District,150011,7.9,10.1,12.5,9.9,11.0
Bristol School District,170011,7.7,5.2,8.6,5.8,4.9
Brookfield School District,180011,3.0,0.0,3.1,3.2,3.5
Canton School District,230011,*,6.3,*,*,7.9
Capital Preparatory Harbor School District,2970013,34.1,11.8,*,*,0.0
Capitol Region Education Council,2410014,1.3,6.3,3.8,4.3,5.6
Cheshire School District,250011,3.7,2.2,4.7,2.3,5.8
Clinton School District,270011,*,*,4.6,3.7,*
Colchester School District,280011,3.7,3.9,8.0,6.9,*
Common Ground High School District,2680013,0.0,11.7,*,15.0,23.5
Connecticut Technical Education and Career System,9000016,0.4,0.7,0.6,0.8,1.1
Coventry School District,320011,*,*,*,*,0.0
Cromwell School District,330011,*,*,9.2,3.9,*
Danbury School District,340011,12.0,11.1,10.9,10.9,13.5
Darien School District,350011,2.5,*,1.7,*,3.0
Department of Mental Health and Addiction Services,3370015,*,*,*,*,N/A
Derby School District,370011,12.2,10.8,14.5,10.0,11.6
East Granby School District,400011,*,*,*,0.0,*
East Haddam School District,410011,*,*,*,0.0,*
East Hampton School District,420011,*,*,*,*,*
East Hartford School District,430011,9.0,4.9,5.7,5.6,9.0
East Haven School District,440011,8.4,7.7,10.9,8.7,9.5
East Lyme School District,450011,4.5,3.8,5.6,*,4.0
East Windsor School District,470011,*,12.3,*,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,8.4,*,*,8.2,*
Ellington School District,480011,3.2,*,*,6.2,*
Elm City College Preparatory School District,2890013,0.0,0.0,*,*,*
Enfield School District,490011,1.6,4.1,5.3,3.1,6.6
Explorations District,2720013,29.0,*,*,*,*
Fairfield School District,510011,3.5,2.4,3.2,4.6,4.5
Farmington School District,520011,*,*,*,2.3,3.6
Glastonbury School District,540011,3.0,2.6,2.8,1.5,3.0
Goodwin University Educational Services (GUES),2310018,N/A,N/A,*,*,11.4
Granby School District,560011,0.0,*,*,*,4.2
Great Oaks Charter School District,2940013,N/A,14.8,12.0,10.3,22.7
Greenwich School District,570011,3.8,2.5,3.8,4.1,2.9
Griswold School District,580011,4.3,8.1,11.6,7.9,10.6
Groton School District,590011,*,6.0,3.8,5.0,6.7
Guilford School District,600011,3.1,3.3,5.4,3.8,3.0
Hamden School District,620011,8.0,8.7,11.5,12.8,9.9
Hartford School District,640011,18.8,14.5,12.2,9.0,10.4
Highville Charter School District,2860013,*,*,*,*,*
Jumoke Academy District,2610013,*,*,*,*,N/A
Killingly School District,690011,4.4,7.5,9.9,7.8,7.9
Learn,2450014,3.2,*,*,*,0.0
Lebanon School District,710011,*,*,*,*,10.8
Ledyard School District,720011,4.8,*,3.1,*,5.2
Litchfield School District,740011,*,*,*,*,*
Madison School District,760011,2.8,*,*,*,3.8
Manchester School District,770011,11.6,11.9,8.8,10.9,10.9
Meriden School District,800011,8.2,8.7,6.1,7.4,7.5
