rptng_district_name,reporting_district_code,total_points,total_possible_points,fall_of_year,accountability_index
Andover School District,10011,533.8696976,750,2022,71.18262635
Ansonia School District,20011,906.7376998,1450,2022,62.53363447
Ashford School District,30011,565.4692103,900,2022,62.82991225
Avon School District,40011,1144.791853,1450,2022,78.95116228
Barkhamsted School District,50011,582.8165163,800,2022,72.85206454
Berlin School District,70011,1123.612665,1450,2022,77.49052864
Bethany School District,80011,782.4231717,950,2022,82.36033387
Bethel School District,90011,1136.009063,1450,2022,78.34545264
Bloomfield School District,110011,967.2462406,1450,2022,66.70663728
Bolton School District,120011,943.5421803,1250,2022,75.48337442
Bozrah School District,130011,678.0277952,850,2022,79.76797591
Branford School District,140011,1071.834393,1450,2022,73.91961331
Bridgeport School District,150011,821.6861678,1450,2022,56.66801157
Bristol School District,170011,1019.052658,1450,2022,70.27949367
Brookfield School District,180011,1164.258527,1450,2022,80.29369154
Brooklyn School District,190011,564.7645573,900,2022,62.75161748
Canaan School District,210011,310.2341451,450,2022,68.94092113
Canterbury School District,220011,687.7933019,900,2022,76.42147798
Canton School District,230011,1007.804385,1350,2022,74.65217665
Chaplin School District,240011,520.0047164,750,2022,69.33396219
Cheshire School District,250011,1200.704173,1450,2022,82.80718436
Chester School District,260011,564.2286441,800,2022,70.52858051
Clinton School District,270011,1090.726557,1450,2022,75.22252116
Colchester School District,280011,1115.682517,1450,2022,76.94362186
Colebrook School District,290011,459.3170692,550,2022,83.5121944
Columbia School District,300011,598.7013179,900,2022,66.52236866
Cornwall School District,310011,461.8393014,600,2022,76.97321691
Coventry School District,320011,1065.075758,1350,2022,78.89450059
Cromwell School District,330011,1083.901719,1450,2022,74.75184272
Danbury School District,340011,964.7788006,1450,2022,66.53646901
Darien School District,350011,1239.69222,1450,2022,85.4960152
Deep River School District,360011,527.9459246,800,2022,65.99324057
Derby School District,370011,893.5804173,1450,2022,61.62623567
Eastford School District,390011,581.067805,750,2022,77.47570733
East Granby School District,400011,972.7469989,1250,2022,77.81975991
East Haddam School District,410011,1025.744901,1350,2022,75.98110376
East Hampton School District,420011,1021.911875,1350,2022,75.69717594
East Hartford School District,430011,962.925658,1450,2022,66.40866607
East Haven School District,440011,962.7318002,1450,2022,66.39529657
East Lyme School District,450011,1170.889013,1450,2022,80.75096644
Easton School District,460011,711.217262,900,2022,79.02414022
East Windsor School District,470011,944.8041893,1450,2022,65.15890961
Ellington School District,480011,1160.645615,1450,2022,80.04452518
Enfield School District,490011,980.9420105,1450,2022,67.65117314
Essex School District,500011,574.2008854,800,2022,71.77511068
Fairfield School District,510011,1149.298874,1450,2022,79.26199134
Farmington School District,520011,1225.066893,1450,2022,84.48737194
Franklin School District,530011,362.5503835,500,2022,72.51007669
Glastonbury School District,540011,1177.469097,1450,2022,81.20476533
Granby School District,560011,1101.877426,1350,2022,81.62055008
Greenwich School District,570011,1195.811869,1450,2022,82.46978405
Griswold School District,580011,962.475187,1350,2022,71.2944583
Groton School District,590011,983.9350968,1450,2022,67.85759288
Guilford School District,600011,1194.947864,1450,2022,82.4101975
Hamden School District,620011,959.1890966,1450,2022,66.15097218
Hampton School District,630011,235.9764254,400,2022,58.99410635
Hartford School District,640011,828.7686925,1450,2022,57.15646155
Hartland School District,650011,518.5451831,600,2022,86.42419718
Hebron School District,670011,659.6553469,850,2022,77.60651141
Kent School District,680011,595.6899741,800,2022,74.46124677
Killingly School District,690011,929.1304648,1450,2022,64.07796309
Lebanon School District,710011,980.0146741,1350,2022,72.59367956
Ledyard School District,720011,1017.206352,1450,2022,70.15216224
Lisbon School District,730011,664.8072719,900,2022,73.86747465
Litchfield School District,740011,1113.853681,1350,2022,82.50768006
Madison School District,760011,1260.946745,1450,2022,86.9618445
Manchester School District,770011,879.0777216,1450,2022,60.62604977
Mansfield School District,780011,686.5487336,1000,2022,68.65487336
Marlborough School District,790011,597.4602976,800,2022,74.6825372
Meriden School District,800011,962.3497207,1450,2022,66.36894626
Middletown School District,830011,941.1516227,1450,2022,64.90700847
Milford School District,840011,1067.867098,1450,2022,73.64600677
Monroe School District,850011,1166.927084,1450,2022,80.47772995
Montville School District,860011,1049.131237,1450,2022,72.35387845
Naugatuck School District,880011,938.1882197,1450,2022,64.70263584
New Britain School District,890011,812.158142,1450,2022,56.01090635
New Canaan School District,900011,1173.173865,1350,2022,86.90176774
