rptng_district_name,reporting_district_code,total_points,total_possible_points,fall_of_year,accountability_index
Andover School District,10011,618.9441465,650,2014,95.22217638
Ansonia School District,20011,862.3797887,1250,2014,68.9903831
Ashford School District,30011,632.1255666,800,2014,79.01569582
Avon School District,40011,1129.326687,1250,2014,90.34613497
Barkhamsted School District,50011,539.2265331,650,2014,82.95792817
Berlin School District,70011,1047.956816,1250,2014,83.83654528
Bethany School District,80011,520.8312878,650,2014,80.12789043
Bethel School District,90011,1085.758096,1250,2014,86.86064771
Bloomfield School District,110011,972.0495342,1250,2014,77.76396274
Bolton School District,120011,984.1190348,1150,2014,85.57556824
Bozrah School District,130011,583.6642897,700,2014,83.38061282
Branford School District,140011,1028.649116,1250,2014,82.29192926
Bridgeport School District,150011,740.7119958,1250,2014,59.25695966
Bristol School District,170011,962.1474366,1250,2014,76.97179493
Brookfield School District,180011,1081.318842,1250,2014,86.50550738
Brooklyn School District,190011,636.1433878,800,2014,79.51792348
Canaan School District,210011,347.6226435,400,2014,86.90566087
Canterbury School District,220011,668.2205509,800,2014,83.52756887
Canton School District,230011,928.9067699,1150,2014,80.77450173
Chaplin School District,240011,500.3953053,650,2014,76.98389313
Cheshire School District,250011,1084.9734779999999,1250,2014,86.79787827
Chester School District,260011,604.8852516,650,2014,93.05926948
Clinton School District,270011,1068.807678,1250,2014,85.50461426
Colchester School District,280011,1050.913192,1250,2014,84.07305537
Colebrook School District,290011,332.5511212,350,2014,95.01460605
Columbia School District,300011,658.2495733,800,2014,82.28119666
Cornwall School District,310011,337.1186728,350,2014,96.3196208
Coventry School District,320011,1035.808132,1250,2014,82.86465059
Cromwell School District,330011,1047.665794,1250,2014,83.81326349
Danbury School District,340011,927.1574134,1250,2014,74.17259308
Darien School District,350011,1164.13464,1250,2014,93.13077122
Deep River School District,360011,584.8054809,650,2014,89.97007399
Derby School District,370011,841.2391127,1250,2014,67.29912902
Eastford School District,390011,592.2783261,650,2014,91.11974248
East Granby School District,400011,978.2903916,1150,2014,85.06872971
East Haddam School District,410011,1044.928107,1250,2014,83.59424858
East Hampton School District,420011,1026.762125,1250,2014,82.14097
East Hartford School District,430011,803.7806719,1250,2014,64.30245375
East Haven School District,440011,888.3483139,1250,2014,71.06786511
East Lyme School District,450011,1105.215767,1250,2014,88.41726137
Easton School District,460011,677.9295498,800,2014,84.74119372
East Windsor School District,470011,968.5630937,1250,2014,77.48504749
Ellington School District,480011,1058.020944,1250,2014,84.64167554
Enfield School District,490011,952.6081832,1250,2014,76.20865466
Essex School District,500011,583.4386064,650,2014,89.75978561
Fairfield School District,510011,1099.043904,1250,2014,87.92351228
Farmington School District,520011,1115.421335,1250,2014,89.23370684
Franklin School District,530011,596.124911,700,2014,85.16070156
Glastonbury School District,540011,1112.126774,1250,2014,88.97014193
Granby School District,560011,1115.811446,1250,2014,89.26491569
Greenwich School District,570011,1116.25744,1250,2014,89.30059519
Griswold School District,580011,980.1736941,1250,2014,78.41389553
Groton School District,590011,961.5007393,1250,2014,76.92005915
Guilford School District,600011,1130.331869,1250,2014,90.4265495
Hamden School District,620011,927.3299408,1250,2014,74.18639526
Hampton School District,630011,317.7269048,350,2014,90.77911567
Hartford School District,640011,762.6902079,1250,2014,61.01521663
Hartland School District,650011,600.2852067,700,2014,85.75502952
Hebron School District,670011,557.6531865,650,2014,85.79279792
Kent School District,680011,576.6798232,650,2014,88.7199728
Killingly School District,690011,883.8085022,1250,2014,70.70468018
Lebanon School District,710011,984.5697898,1250,2014,78.76558319
Ledyard School District,720011,1065.324683,1250,2014,85.22597465
Lisbon School District,730011,646.8086541,800,2014,80.85108176
Litchfield School District,740011,989.1396904,1150,2014,86.01214699
Madison School District,760011,1140.048979,1250,2014,91.20391832
Manchester School District,770011,872.2298068,1250,2014,69.77838455
Mansfield School District,780011,731.0180152,800,2014,91.37725189
Marlborough School District,790011,561.9246171,650,2014,86.4499411
Meriden School District,800011,813.8111055,1250,2014,65.10488844
Middletown School District,830011,939.5513738,1250,2014,75.16410991
Milford School District,840011,1012.277598,1250,2014,80.9822078
Monroe School District,850011,1115.377515,1250,2014,89.2302012
Montville School District,860011,1005.927544,1250,2014,80.47420354
Naugatuck School District,880011,875.3907907,1250,2014,70.03126326
New Britain School District,890011,746.5149942,1250,2014,59.72119953
New Canaan School District,900011,1164.419767,1250,2014,93.15358138
New Fairfield School District,910011,1075.705019,1250,2014,86.05640155
New Hartford School District,920011,579.8466089,650,2014,89.20717061
New Haven School District,930011,774.6008386,1250,2014,61.96806709
Newington School District,940011,1066.737696,1250,2014,85.3390157
New London School District,950011,780.515209,1250,2014,62.44121672
New Milford School District,960011,1017.168153,1250,2014,81.37345224
Newtown School District,970011,1059.793342,1250,2014,84.78346738
Norfolk School District,980011,547.4085852,650,2014,84.21670541
North Branford School District,990011,998.0526519,1250,2014,79.84421215
North Canaan School District,1000011,627.7258684,800,2014,78.46573355
North Haven School District,1010011,967.3381032,1250,2014,77.38704826
North Stonington School District,1020011,998.7096903,1150,2014,86.8443209
Norwalk School District,1030011,973.6289684,1250,2014,77.89031747
Norwich School District,1040011,617.2036649,1050,2014,58.78130142
Old Saybrook School District,1060011,1097.226999,1250,2014,87.77815993
