x,x_1,x_2
,NA,
Geographic area,NA,
,NA,
,NA,
,NA,Total 1  
,NA,
  United States,NA,"16,526"
,NA,
Alabama,NA,"12,765"
Alaska,NA,"20,340"
Arizona,NA,"11,297"
Arkansas,NA,"12,738"
California,NA,"18,798"
,NA,
Colorado,NA,"14,858"
Connecticut,NA,"25,081"
Delaware,NA,"21,340"
District of Columbia,NA,"31,629"
Florida,NA,"11,862"
,NA,
Georgia,NA,"14,414"
Hawaii,NA,"20,056"
Idaho,NA,"10,247"
Illinois,NA,"20,253"
Indiana,NA,"13,121"
,NA,
Iowa,NA,"13,792"
Kansas,NA,"14,847"
Kentucky,NA,"14,633"
Louisiana,NA,"14,645"
Maine,NA,"18,797"
,NA,
Maryland,NA,"18,887"
Massachusetts,NA,"22,947"
Michigan,NA,"17,535"
Minnesota,NA,"16,117"
Mississippi,NA,"12,093"
,NA,
Missouri,NA,"13,472"
Montana,NA,"13,771"
Nebraska,NA,"15,200"
Nevada,NA,"11,673"
New Hampshire,NA,"21,731"
,NA,
New Jersey,NA,"26,280"
New Mexico,NA,"15,693"
New York,NA,"30,012"
North Carolina,NA,"12,492"
North Dakota,NA,"16,114"
,NA,
Ohio,NA,"16,476"
Oklahoma,NA,"11,155"
Oregon,NA,"17,161"
Pennsylvania,NA,"20,056"
Rhode Island,NA,"21,182"
,NA,
South Carolina,NA,"13,957"
South Dakota,NA,"12,005"
Tennessee,NA,"12,197"
Texas,NA,"12,304"
Utah,NA,"10,333"
,NA,
Vermont,NA,"26,345"
Virginia,NA,"16,098"
Washington,NA,"18,181"
West Virginia,NA,"14,575"
Wisconsin,NA,"14,882"
Wyoming,NA,"19,324"
,NA,
,NA,
,NA,
,NA,
,NA,
,NA,
