town,year,mean_rate
Ansonia,2019_20,NA
Ansonia,2020_21,NA
Ansonia,2021_22,NA
Ansonia,2022_23,NA
Ansonia,2023_24,NA
Avon,2019_20,NA
Avon,2020_21,NA
Avon,2021_22,NA
Avon,2022_23,NA
Avon,2023_24,NA
Berlin,2019_20,NA
Berlin,2020_21,NA
Berlin,2021_22,NA
Berlin,2022_23,NA
Berlin,2023_24,NA
Bethel,2019_20,NA
Bethel,2020_21,NA
Bethel,2021_22,NA
Bethel,2022_23,NA
Bethel,2023_24,NA
Bloomfield,2019_20,NA
Bloomfield,2020_21,NA
Bloomfield,2021_22,NA
Bloomfield,2022_23,NA
Bloomfield,2023_24,NA
Bolton,2019_20,NA
Bolton,2020_21,NA
Bolton,2021_22,NA
Bolton,2022_23,NA
Bolton,2023_24,NA
Branford,2019_20,NA
Branford,2020_21,NA
Branford,2021_22,NA
Branford,2022_23,NA
Branford,2023_24,NA
Bridgeport,2019_20,NA
Bridgeport,2020_21,NA
Bridgeport,2021_22,NA
Bridgeport,2022_23,NA
Bridgeport,2023_24,NA
Bristol,2019_20,NA
Bristol,2020_21,NA
Bristol,2021_22,NA
Bristol,2022_23,NA
Bristol,2023_24,NA
Brookfield,2019_20,NA
Brookfield,2020_21,NA
Brookfield,2021_22,NA
Brookfield,2022_23,NA
Brookfield,2023_24,NA
Burlington,2019_20,NA
Burlington,2020_21,NA
Burlington,2021_22,NA
Burlington,2022_23,NA
Burlington,2023_24,NA
Chaplin,2019_20,NA
Chaplin,2020_21,NA
Chaplin,2021_22,NA
Chaplin,2022_23,NA
Chaplin,2023_24,NA
Cheshire,2019_20,NA
Cheshire,2020_21,NA
Cheshire,2021_22,NA
Cheshire,2022_23,NA
Cheshire,2023_24,NA
Clinton,2019_20,NA
Clinton,2020_21,NA
Clinton,2021_22,NA
Clinton,2022_23,NA
Clinton,2023_24,NA
Colchester,2019_20,NA
Colchester,2020_21,NA
Colchester,2021_22,NA
Colchester,2022_23,NA
Colchester,2023_24,NA
Collinsville,2019_20,NA
Collinsville,2020_21,NA
Collinsville,2021_22,NA
Collinsville,2022_23,NA
Collinsville,2023_24,NA
Coventry,2019_20,NA
Coventry,2020_21,NA
Coventry,2021_22,NA
Coventry,2022_23,NA
Coventry,2023_24,NA
Cromwell,2019_20,NA
Cromwell,2020_21,NA
Cromwell,2021_22,NA
Cromwell,2022_23,NA
Cromwell,2023_24,NA
Danbury,2019_20,NA
Danbury,2020_21,NA
Danbury,2021_22,NA
Danbury,2022_23,NA
Danbury,2023_24,NA
Danielson,2019_20,NA
Danielson,2020_21,NA
Danielson,2021_22,NA
Danielson,2022_23,NA
Danielson,2023_24,NA
Darien,2019_20,NA
Darien,2020_21,NA
Darien,2021_22,NA
Darien,2022_23,NA
Darien,2023_24,NA
Deep River,2019_20,NA
Deep River,2020_21,NA
Deep River,2021_22,NA
Deep River,2022_23,NA
Deep River,2023_24,NA
Derby,2019_20,NA
Derby,2020_21,NA
Derby,2021_22,NA
Derby,2022_23,NA
Derby,2023_24,NA
Durham,2019_20,NA
Durham,2020_21,NA
Durham,2021_22,NA
Durham,2022_23,NA
Durham,2023_24,NA
East Granby,2019_20,NA
East Granby,2020_21,NA
East Granby,2021_22,NA
East Granby,2022_23,NA
East Granby,2023_24,NA
East Hampton,2019_20,NA
East Hampton,2020_21,NA
East Hampton,2021_22,NA
East Hampton,2022_23,NA
East Hampton,2023_24,NA
East Hartford,2019_20,NA
East Hartford,2020_21,NA
East Hartford,2021_22,NA
East Hartford,2022_23,NA
East Hartford,2023_24,NA
East Haven,2019_20,NA
East Haven,2020_21,NA
East Haven,2021_22,NA
East Haven,2022_23,NA
East Haven,2023_24,NA
East Lyme,2019_20,NA
East Lyme,2020_21,NA
East Lyme,2021_22,NA
East Lyme,2022_23,NA
East Lyme,2023_24,NA
East Windsor,2019_20,NA
East Windsor,2020_21,NA
East Windsor,2021_22,NA
East Windsor,2022_23,NA
East Windsor,2023_24,NA
Easton,2019_20,NA
Easton,2020_21,NA
Easton,2021_22,NA
Easton,2022_23,NA
Easton,2023_24,NA
Ellington,2019_20,NA
Ellington,2020_21,NA
Ellington,2021_22,NA
Ellington,2022_23,NA
Ellington,2023_24,NA
Enfield,2019_20,NA
Enfield,2020_21,NA
Enfield,2021_22,NA
Enfield,2022_23,NA
Enfield,2023_24,NA
Fairfield,2019_20,NA
Fairfield,2020_21,NA
Fairfield,2021_22,NA
Fairfield,2022_23,NA
Fairfield,2023_24,NA
Falls Village,2019_20,NA
Falls Village,2020_21,NA
Falls Village,2021_22,NA
Falls Village,2022_23,NA
Falls Village,2023_24,NA
Farmington,2019_20,NA
Farmington,2020_21,NA
Farmington,2021_22,NA
Farmington,2022_23,NA
Farmington,2023_24,NA
Glastonbury,2019_20,NA
Glastonbury,2020_21,NA
Glastonbury,2021_22,NA
Glastonbury,2022_23,NA
Glastonbury,2023_24,NA
Granby,2019_20,NA
Granby,2020_21,NA
Granby,2021_22,NA
Granby,2022_23,NA
Granby,2023_24,NA
Greenwich,2019_20,NA
Greenwich,2020_21,NA
Greenwich,2021_22,NA
Greenwich,2022_23,NA
Greenwich,2023_24,NA
Griswold,2019_20,NA
Griswold,2020_21,NA
Griswold,2021_22,NA
Griswold,2022_23,NA
Griswold,2023_24,NA
Guilford,2019_20,NA
Guilford,2020_21,NA
Guilford,2021_22,NA
Guilford,2022_23,NA
Guilford,2023_24,NA
Hamden,2019_20,NA
Hamden,2020_21,NA
Hamden,2021_22,NA
Hamden,2022_23,NA
Hamden,2023_24,NA
Hampton,2019_20,NA
Hampton,2020_21,NA
Hampton,2021_22,NA
Hampton,2022_23,NA
Hampton,2023_24,NA
Hartford,2019_20,NA
Hartford,2020_21,NA
Hartford,2021_22,NA
Hartford,2022_23,NA
Hartford,2023_24,NA
Hebron,2019_20,NA
Hebron,2020_21,NA
Hebron,2021_22,NA
Hebron,2022_23,NA
Hebron,2023_24,NA
Higganum,2019_20,NA
Higganum,2020_21,NA
Higganum,2021_22,NA
Higganum,2022_23,NA
Higganum,2023_24,NA
Lebanon,2019_20,NA
Lebanon,2020_21,NA
Lebanon,2021_22,NA
Lebanon,2022_23,NA
Lebanon,2023_24,NA
Ledyard,2019_20,NA
Ledyard,2020_21,NA
Ledyard,2021_22,NA
Ledyard,2022_23,NA
Ledyard,2023_24,NA
Litchfield,2019_20,NA
Litchfield,2020_21,NA
Litchfield,2021_22,NA
Litchfield,2022_23,NA
Litchfield,2023_24,NA
Madison,2019_20,NA
Madison,2020_21,NA
Madison,2021_22,NA
Madison,2022_23,NA
Madison,2023_24,NA
Manchester,2019_20,NA
Manchester,2020_21,NA
Manchester,2021_22,NA
Manchester,2022_23,NA
Manchester,2023_24,NA
Meriden,2019_20,NA
Meriden,2020_21,NA
Meriden,2021_22,NA
Meriden,2022_23,NA
Meriden,2023_24,NA
Middlebury,2019_20,NA
Middlebury,2020_21,NA
Middlebury,2021_22,NA
Middlebury,2022_23,NA
Middlebury,2023_24,NA
Middletown,2019_20,NA
Middletown,2020_21,NA
Middletown,2021_22,NA
Middletown,2022_23,NA
Middletown,2023_24,NA
Milford,2019_20,NA
Milford,2020_21,NA
Milford,2021_22,NA
Milford,2022_23,NA
Milford,2023_24,NA
Monroe,2019_20,NA
Monroe,2020_21,NA
Monroe,2021_22,NA
Monroe,2022_23,NA
Monroe,2023_24,NA
Moodus,2019_20,NA
Moodus,2020_21,NA
Moodus,2021_22,NA
Moodus,2022_23,NA
Moodus,2023_24,NA
Mystic,2019_20,NA
Mystic,2020_21,NA
Mystic,2021_22,NA
Mystic,2022_23,NA
Mystic,2023_24,NA
Naugatuck,2019_20,NA
Naugatuck,2020_21,NA
Naugatuck,2021_22,NA
Naugatuck,2022_23,NA
